Date,Current,Voltage,speed_rpm,means,anomaly_score,is_anomaly,suggestion
2025-07-22 13:38:00,1.658,12.036,7899,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.15065855089385444,False,
2025-07-22 13:38:01,1.631,11.938,7980,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.19220232423689476,False,
2025-07-22 13:38:02,1.649,11.919,7999,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.1660448368391776,False,
2025-07-22 13:38:03,1.488,12.108,8073,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.050366237007116066,False,
2025-07-22 13:38:04,1.539,12.107,8184,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.0119635429820929,False,
2025-07-22 13:38:05,1.516,12.033,7905,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.09805700648947979,False,
2025-07-22 13:38:06,1.627,11.86,7981,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.12685765571766938,False,
2025-07-22 13:38:07,1.593,12.047,8060,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.19036714468549165,False,
2025-07-22 13:38:08,1.613,11.973,8036,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.207677907180223,False,
2025-07-22 13:38:09,1.506,11.903,7958,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.07512666228479703,False,
2025-07-22 13:38:10,1.67,12.023,8067,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.1667552501775762,False,
2025-07-22 13:38:11,1.616,12.091,8073,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.1759081842655334,False,
2025-07-22 13:38:12,1.639,12.046,7996,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.19476272097140196,False,
2025-07-22 13:38:13,1.61,11.943,8094,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.1691459279352983,False,
2025-07-22 13:38:14,1.634,11.923,8029,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.18541191206740854,False,
2025-07-22 13:38:15,1.623,11.961,8023,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.20630351268918323,False,
2025-07-22 13:38:16,1.615,12.188,8035,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.04951398790535255,False,
2025-07-22 13:38:17,1.648,12.066,8124,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.11559248594983029,False,
2025-07-22 13:38:18,1.633,11.857,8034,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.1210379141963161,False,
2025-07-22 13:38:19,1.599,11.901,7922,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.15781899665071036,False,
2025-07-22 13:38:20,1.624,11.912,8008,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.18686088808155354,False,
2025-07-22 13:38:21,1.691,11.911,8001,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.12723776668751946,False,
2025-07-22 13:38:22,1.633,11.97,8032,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.20269814776970302,False,
2025-07-22 13:38:23,1.68,12.026,8046,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.1642847725222623,False,
2025-07-22 13:38:24,1.614,11.833,8066,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.07818848984996152,False,
2025-07-22 13:38:25,1.559,11.994,7956,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.1952836222362041,False,
2025-07-22 13:38:26,1.587,12.135,7925,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.0948378714395029,False,
2025-07-22 13:38:27,1.628,12.013,7882,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.16075288443489577,False,
2025-07-22 13:38:28,1.672,11.875,8066,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.09315459832001166,False,
2025-07-22 13:38:29,1.616,12.091,7909,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.14983775809445626,False,
2025-07-22 13:38:30,1.605,11.923,7784,"Current         1.698219
Voltage        11.981114
speed_rpm    7714.028571
dtype: float64",-0.0534547485483039,False,
